Compound,Axis,Mechanism_theme,Pre_BBB_exploratory_layer,After_BBB_exploratory_layer,BBB_review_layer,Final_exploratory_score_after_BBB,Exploratory_role,Interpretation_boundary,Notes
VALPROIC ACID,NFE2L2,epigenetic / HDAC,mechanism-direction clues,mechanism-direction clues,BBB-reviewed CNS-directed clue layer,0.954,mechanism-direction clues; exploratory drug-signature enrichment,exploratory clues only; not a therapeutic recommendation,Hypothesis-generating mechanism-direction clue only.
lobeline,NFE2L2,manual review needed,mechanism-direction clues,mechanism-direction clues,BBB-reviewed CNS-directed clue layer,0.817,mechanism-direction clues; exploratory drug-signature enrichment,exploratory clues only; not a therapeutic recommendation,Hypothesis-generating mechanism-direction clue only.
(-)-Epigallocatechin gallate,NFE2L2,redox / stress-adaptation,mechanism-direction clues,peripheral/program-modulating clues,peripheral/program-modulating clue layer,0.743,peripheral/program-modulating clues; exploratory drug-signature enrichment,exploratory clues only; not a therapeutic recommendation,Hypothesis-generating mechanism-direction clue only.
quercetin,NFE2L2,redox / stress-adaptation,mechanism-direction clues,peripheral/program-modulating clues,peripheral/program-modulating clue layer,0.679,peripheral/program-modulating clues; exploratory drug-signature enrichment,exploratory clues only; not a therapeutic recommendation,Hypothesis-generating mechanism-direction clue only.
Gabapentin enacarbil,THRB,calcium / synaptic,supportive clues,peripheral/program-modulating clues,peripheral/program-modulating clue layer,0.662,peripheral/program-modulating clues; exploratory drug-signature enrichment,exploratory clues only; not a therapeutic recommendation,Hypothesis-generating mechanism-direction clue only.
Roflumilast,THRB,phosphodiesterase / cAMP,supportive clues,peripheral/program-modulating clues,peripheral/program-modulating clue layer,0.646,peripheral/program-modulating clues; exploratory drug-signature enrichment,exploratory clues only; not a therapeutic recommendation,Hypothesis-generating mechanism-direction clue only.
zaprinast,THRB,phosphodiesterase / cAMP,supportive clues,peripheral/program-modulating clues,peripheral/program-modulating clue layer,0.646,peripheral/program-modulating clues; exploratory drug-signature enrichment,exploratory clues only; not a therapeutic recommendation,Hypothesis-generating mechanism-direction clue only.
MS-275,NFE2L2,epigenetic / HDAC,supportive clues,peripheral/program-modulating clues,peripheral/program-modulating clue layer,0.509,peripheral/program-modulating clues; exploratory drug-signature enrichment,exploratory clues only; not a therapeutic recommendation,Hypothesis-generating mechanism-direction clue only.
scriptaid,NFE2L2,epigenetic / HDAC,supportive clues,peripheral/program-modulating clues,peripheral/program-modulating clue layer,0.507,peripheral/program-modulating clues; exploratory drug-signature enrichment,exploratory clues only; not a therapeutic recommendation,Hypothesis-generating mechanism-direction clue only.
S-(+)-Rolipram,THRB,phosphodiesterase / cAMP,supportive clues,supportive_after_bbb_clues,possible CNS-directed exploratory clues,0.694,supportive_after_bbb_clues; exploratory drug-signature enrichment,exploratory clues only; not a therapeutic recommendation,Hypothesis-generating mechanism-direction clue only.
papaverine,THRB,phosphodiesterase / cAMP,supportive clues,supportive_after_bbb_clues,possible CNS-directed exploratory clues,0.683,supportive_after_bbb_clues; exploratory drug-signature enrichment,exploratory clues only; not a therapeutic recommendation,Hypothesis-generating mechanism-direction clue only.
trichostatin A,NFE2L2,metabolic/homeostatic; epigenetic/hdac,supportive clues,supportive_after_bbb_clues,possible CNS-directed exploratory clues,0.634,supportive_after_bbb_clues; exploratory drug-signature enrichment,exploratory clues only; not a therapeutic recommendation,Hypothesis-generating mechanism-direction clue only.
