compound,axis,lead_layer_v21,evidence_tier,support_summary,mechanism_theme,v21_score_prebbb,penalty_reasons,recommended_role,conservative_interpretation,manual_bbb_status
VALPROIC ACID,NFE2L2,primary_mechanism_direction_clues,primary_prebbb,4 query set(s); best adj.P=6.39e-42; combined=421,epigenetic/hdac,0.947316,none,primary mechanism-direction clue,Exploratory program-guided mechanism-direction clue only; not a clinical recommendation and not direct target validation.,BBB not resolved in v2.1; requires manual search/review.
lobeline,NFE2L2,primary_mechanism_direction_clues,primary_prebbb,3 query set(s); best adj.P=2.3e-16; combined=189,未自动识别；需人工核实,0.792271,none,primary mechanism-direction clue,Exploratory program-guided mechanism-direction clue only; not a clinical recommendation and not direct target validation.,BBB not resolved in v2.1; requires manual search/review.
(-)-Epigallocatechin gallate,NFE2L2,primary_mechanism_direction_clues,primary_prebbb,3 query set(s); best adj.P=5.33e-17; combined=130,redox/stress-adaptation,0.790111,none,primary mechanism-direction clue,Exploratory program-guided mechanism-direction clue only; not a clinical recommendation and not direct target validation.,BBB not resolved in v2.1; requires manual search/review.
quercetin,NFE2L2,primary_mechanism_direction_clues,primary_prebbb,2 query set(s); best adj.P=7.35e-08; combined=74.3,redox/stress-adaptation,0.717066,none,primary mechanism-direction clue,Exploratory program-guided mechanism-direction clue only; not a clinical recommendation and not direct target validation.,BBB not resolved in v2.1; requires manual search/review.
Gabapentin enacarbil,THRB,supportive_manual_review_clues,manual_review_weak_fdr,2 query set(s); best adj.P=0.152; combined=318,calcium/synaptic,0.69778,weak_fdr,supportive/manual-review mechanism clue,Exploratory program-guided mechanism-direction clue only; not a clinical recommendation and not direct target validation.,BBB not resolved in v2.1; requires manual search/review.
S-(+)-Rolipram,THRB,supportive_manual_review_clues,manual_review_weak_fdr,2 query set(s); best adj.P=0.152; combined=735,phosphodiesterase/cAMP,0.686896,weak_fdr,supportive/manual-review mechanism clue,Exploratory program-guided mechanism-direction clue only; not a clinical recommendation and not direct target validation.,BBB not resolved in v2.1; requires manual search/review.
Roflumilast,THRB,supportive_manual_review_clues,manual_review_weak_fdr,2 query set(s); best adj.P=0.152; combined=663,phosphodiesterase/cAMP,0.679757,weak_fdr,supportive/manual-review mechanism clue,Exploratory program-guided mechanism-direction clue only; not a clinical recommendation and not direct target validation.,BBB not resolved in v2.1; requires manual search/review.
zaprinast,THRB,supportive_manual_review_clues,manual_review_weak_fdr,2 query set(s); best adj.P=0.152; combined=663,phosphodiesterase/cAMP,0.679757,weak_fdr,supportive/manual-review mechanism clue,Exploratory program-guided mechanism-direction clue only; not a clinical recommendation and not direct target validation.,BBB not resolved in v2.1; requires manual search/review.
papaverine,THRB,supportive_manual_review_clues,manual_review_weak_fdr,2 query set(s); best adj.P=0.152; combined=602,phosphodiesterase/cAMP,0.673791,weak_fdr,supportive/manual-review mechanism clue,Exploratory program-guided mechanism-direction clue only; not a clinical recommendation and not direct target validation.,BBB not resolved in v2.1; requires manual search/review.
trichostatin A,NFE2L2,supportive_manual_review_clues,supportive_prebbb,5 query set(s); best adj.P=2.37e-30; combined=255,metabolic/homeostatic; epigenetic/hdac,0.6178,tool_or_broad_epigenetic,supportive/manual-review mechanism clue,Exploratory program-guided mechanism-direction clue only; not a clinical recommendation and not direct target validation.,BBB not resolved in v2.1; requires manual search/review.
MS-275,NFE2L2,supportive_manual_review_clues,supportive_prebbb,2 query set(s); best adj.P=1.3e-07; combined=75.7,epigenetic/hdac,0.523934,tool_or_broad_epigenetic,supportive/manual-review mechanism clue,Exploratory program-guided mechanism-direction clue only; not a clinical recommendation and not direct target validation.,BBB not resolved in v2.1; requires manual search/review.
scriptaid,NFE2L2,supportive_manual_review_clues,supportive_prebbb,2 query set(s); best adj.P=2.3e-07; combined=60.2,epigenetic/hdac,0.521287,tool_or_broad_epigenetic,supportive/manual-review mechanism clue,Exploratory program-guided mechanism-direction clue only; not a clinical recommendation and not direct target validation.,BBB not resolved in v2.1; requires manual search/review.
