compound,axis,prebbb_layer_v21,after_bbb_final_layer,BBB_layer,prebbb_score_v21,BBB_score,final_score_after_bbb,support_summary,mechanism_theme,penalty_reasons,display_role,conservative_interpretation,bbb_note
VALPROIC ACID,NFE2L2,primary_mechanism_direction_clues,headline_cns_mechanism_direction_clues,CNS-directed clues,0.947316,1.0,0.953639,4 query set(s); best adj.P=6.39e-42; combined=421,epigenetic/hdac,none,after-BBB headline CNS-directed mechanism-direction clue,Exploratory program-guided mechanism-direction clue only; not a treatment recommendation and not direct target validation.,BBB=Yes、GI=High、Pgp=No，且 Brenk/PAINS 未见明显异常。 Bioavailability Score=0.85。
lobeline,NFE2L2,primary_mechanism_direction_clues,headline_cns_mechanism_direction_clues,CNS-directed clues,0.792271,1.0,0.817199,3 query set(s); best adj.P=2.3e-16; combined=189,未自动识别；需人工核实,none,after-BBB headline CNS-directed mechanism-direction clue,Exploratory program-guided mechanism-direction clue only; not a treatment recommendation and not direct target validation.,BBB=Yes、GI=High、Pgp=No，且 Brenk/PAINS 未见明显异常。 Bioavailability Score=0.55。
(-)-Epigallocatechin gallate,NFE2L2,primary_mechanism_direction_clues,peripheral_program_modulating_clues,peripheral/program-modulating clues,0.790111,0.4,0.743297,3 query set(s); best adj.P=5.33e-17; combined=130,redox/stress-adaptation,none,peripheral/program-modulating mechanism clue,Exploratory program-guided mechanism-direction clue only; not a treatment recommendation and not direct target validation.,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.17。
quercetin,NFE2L2,primary_mechanism_direction_clues,peripheral_program_modulating_clues,peripheral/program-modulating clues,0.717066,0.4,0.679018,2 query set(s); best adj.P=7.35e-08; combined=74.3,redox/stress-adaptation,none,peripheral/program-modulating mechanism clue,Exploratory program-guided mechanism-direction clue only; not a treatment recommendation and not direct target validation.,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.55。
Gabapentin enacarbil,THRB,supportive_manual_review_clues,peripheral_program_modulating_clues,peripheral/program-modulating clues,0.69778,0.4,0.662046,2 query set(s); best adj.P=0.152; combined=318,calcium/synaptic,weak_fdr,peripheral/program-modulating mechanism clue,Exploratory program-guided mechanism-direction clue only; not a treatment recommendation and not direct target validation.,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.56。
Roflumilast,THRB,supportive_manual_review_clues,peripheral_program_modulating_clues,peripheral/program-modulating clues,0.679757,0.4,0.646186,2 query set(s); best adj.P=0.152; combined=663,phosphodiesterase/cAMP,weak_fdr,peripheral/program-modulating mechanism clue,Exploratory program-guided mechanism-direction clue only; not a treatment recommendation and not direct target validation.,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.55。
zaprinast,THRB,supportive_manual_review_clues,peripheral_program_modulating_clues,peripheral/program-modulating clues,0.679757,0.4,0.646186,2 query set(s); best adj.P=0.152; combined=663,phosphodiesterase/cAMP,weak_fdr,peripheral/program-modulating mechanism clue,Exploratory program-guided mechanism-direction clue only; not a treatment recommendation and not direct target validation.,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.55。
MS-275,NFE2L2,supportive_manual_review_clues,peripheral_program_modulating_clues,peripheral/program-modulating clues,0.523934,0.4,0.509062,2 query set(s); best adj.P=1.3e-07; combined=75.7,epigenetic/hdac,tool_or_broad_epigenetic,peripheral/program-modulating mechanism clue,Exploratory program-guided mechanism-direction clue only; not a treatment recommendation and not direct target validation.,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.55。
scriptaid,NFE2L2,supportive_manual_review_clues,peripheral_program_modulating_clues,peripheral/program-modulating clues,0.521287,0.4,0.506733,2 query set(s); best adj.P=2.3e-07; combined=60.2,epigenetic/hdac,tool_or_broad_epigenetic,peripheral/program-modulating mechanism clue,Exploratory program-guided mechanism-direction clue only; not a treatment recommendation and not direct target validation.,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.55。
S-(+)-Rolipram,THRB,supportive_manual_review_clues,supportive_after_bbb_clues,possible CNS-directed clues,0.686896,0.75,0.694468,2 query set(s); best adj.P=0.152; combined=735,phosphodiesterase/cAMP,weak_fdr,supportive/manual-review after-BBB clue,Exploratory program-guided mechanism-direction clue only; not a treatment recommendation and not direct target validation.,BBB=Yes，但存在 Pgp/Brenk/PAINS 等限制，保守归为 possible CNS-directed。 Pgp substrate=Yes。 Bioavailability Score=0.55。
papaverine,THRB,supportive_manual_review_clues,supportive_after_bbb_clues,possible CNS-directed clues,0.673791,0.75,0.682936,2 query set(s); best adj.P=0.152; combined=602,phosphodiesterase/cAMP,weak_fdr,supportive/manual-review after-BBB clue,Exploratory program-guided mechanism-direction clue only; not a treatment recommendation and not direct target validation.,BBB=Yes，但存在 Pgp/Brenk/PAINS 等限制，保守归为 possible CNS-directed。 Pgp substrate=Yes。 Bioavailability Score=0.55。
trichostatin A,NFE2L2,supportive_manual_review_clues,supportive_after_bbb_clues,possible CNS-directed clues,0.6178,0.75,0.633664,5 query set(s); best adj.P=2.37e-30; combined=255,metabolic/homeostatic; epigenetic/hdac,tool_or_broad_epigenetic,supportive/manual-review after-BBB clue,Exploratory program-guided mechanism-direction clue only; not a treatment recommendation and not direct target validation.,BBB=Yes，但存在 Pgp/Brenk/PAINS 等限制，保守归为 possible CNS-directed。 Brenk alerts=4。 Bioavailability Score=0.55。
