compound,associated_axis,prebbb_layer_v21,prebbb_evidence_tier_v21,canonical_smiles,swissadme_bbb_prediction,swissadme_gi_absorption,swissadme_pgp_substrate,swissadme_bioavailability_score,swissadme_pains_alerts,swissadme_brenk_alerts,swissadme_leadlikeness_violations,swissadme_synthetic_accessibility,manual_final_bbb_layer,BBB_score,manual_review_note,reviewed_by,reviewed_date
VALPROIC ACID,NFE2L2,primary_mechanism_direction_clues,primary_prebbb,CCCC(CCC)C(=O)O,Yes,High,No,0.85,0,0,1,1.28,CNS-directed clues,1.0,BBB=Yes、GI=High、Pgp=No，且 Brenk/PAINS 未见明显异常。 Bioavailability Score=0.85。,swissadme_csv_v21_manual_input,2026-04-22
lobeline,NFE2L2,primary_mechanism_direction_clues,primary_prebbb,CN1[C@@H](CCC[C@@H]1CC(=O)C2=CC=CC=C2)C[C@@H](C3=CC=CC=C3)O,Yes,High,No,0.55,0,0,1,3.23,CNS-directed clues,1.0,BBB=Yes、GI=High、Pgp=No，且 Brenk/PAINS 未见明显异常。 Bioavailability Score=0.55。,swissadme_csv_v21_manual_input,2026-04-22
(-)-Epigallocatechin gallate,NFE2L2,primary_mechanism_direction_clues,primary_prebbb,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,No,Low,No,0.17,1,1,1,4.2,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.17。,swissadme_csv_v21_manual_input,2026-04-22
quercetin,NFE2L2,primary_mechanism_direction_clues,primary_prebbb,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,No,High,No,0.55,1,1,0,3.23,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.55。,swissadme_csv_v21_manual_input,2026-04-22
Gabapentin enacarbil,THRB,supportive_manual_review_clues,manual_review_weak_fdr,CC(C)C(=O)OC(C)OC(=O)NCC1(CCCCC1)CC(=O)O,No,High,Yes,0.56,0,2,1,3.53,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.56。,swissadme_csv_v21_manual_input,2026-04-22
S-(+)-Rolipram,THRB,supportive_manual_review_clues,manual_review_weak_fdr,COC1=C(C=C(C=C1)[C@@H]2CC(=O)NC2)OC3CCCC3,Yes,High,Yes,0.55,0,0,0,2.7,possible CNS-directed clues,0.75,BBB=Yes，但存在 Pgp/Brenk/PAINS 等限制，保守归为 possible CNS-directed。 Pgp substrate=Yes。 Bioavailability Score=0.55。,swissadme_csv_v21_manual_input,2026-04-22
Roflumilast,THRB,supportive_manual_review_clues,manual_review_weak_fdr,C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F,No,High,No,0.55,0,0,3,2.55,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.55。,swissadme_csv_v21_manual_input,2026-04-22
zaprinast,THRB,supportive_manual_review_clues,manual_review_weak_fdr,CCCOC1=CC=CC=C1C2=NC3=NNN=C3C(=O)N2,No,High,No,0.55,0,0,0,2.66,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.55。,swissadme_csv_v21_manual_input,2026-04-22
papaverine,THRB,supportive_manual_review_clues,manual_review_weak_fdr,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,Yes,High,Yes,0.55,0,0,0,2.62,possible CNS-directed clues,0.75,BBB=Yes，但存在 Pgp/Brenk/PAINS 等限制，保守归为 possible CNS-directed。 Pgp substrate=Yes。 Bioavailability Score=0.55。,swissadme_csv_v21_manual_input,2026-04-22
trichostatin A,NFE2L2,supportive_manual_review_clues,supportive_prebbb,C[C@H](/C=C(\C)/C=C/C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C,Yes,High,No,0.55,0,4,0,3.44,possible CNS-directed clues,0.75,BBB=Yes，但存在 Pgp/Brenk/PAINS 等限制，保守归为 possible CNS-directed。 Brenk alerts=4。 Bioavailability Score=0.55。,swissadme_csv_v21_manual_input,2026-04-22
MS-275,NFE2L2,supportive_manual_review_clues,supportive_prebbb,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,No,High,Yes,0.55,0,1,2,2.67,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.55。,swissadme_csv_v21_manual_input,2026-04-22
scriptaid,NFE2L2,supportive_manual_review_clues,supportive_prebbb,C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO,No,High,No,0.55,0,2,0,2.31,peripheral/program-modulating clues,0.4,BBB=No；不删除候选，改按 peripheral/program-modulating clue 解释。 Bioavailability Score=0.55。,swissadme_csv_v21_manual_input,2026-04-22
