Table ID,File name,Title,Main or supplementary,Source input,Status,Notes
Main Table 1,Main_Table1_analytical_datasets_and_object_roles_v3_minorfix.csv,Table 1. Analytical datasets and object roles.,Main,Main_Table1_analytical_datasets_and_object_roles.csv,generated,v3 minorfix output; original numeric values preserved.
Main Table 2,Main_Table2_integrated_TF_prioritization_v3_minorfix.csv,Table 2. Integrated prioritization of candidate transcription factors.,Main,Main_Table2_integrated_TF_prioritization.csv,generated,v3 minorfix output; original numeric values preserved.
ST01,ST01_dataset_role_and_excluded_resource_audit_v3_minorfix.csv,Supplementary Table ST01. Dataset role and excluded-resource audit.,Supplementary,ST01_dataset_role_and_excluded_resource_audit.csv,generated,v3 minorfix output; original numeric values preserved.
ST02,ST02_discovery_TF_shortlist_v3_minorfix.csv,Supplementary Table ST02. Discovery TF shortlist from differential regulon and expression analysis.,Supplementary,ST02_discovery_TF_shortlist.csv,generated,v3 minorfix output; original numeric values preserved.
ST03,ST03_integrated_TF_prioritization_metrics_v3_minorfix.csv,Supplementary Table ST03. Integrated TF prioritization metrics.,Supplementary,ST03_integrated_TF_prioritization_metrics.csv,generated,v3 minorfix output; original numeric values preserved.
ST04,ST04_full_differential_regulon_statistics_v3_minorfix.csv,Supplementary Table ST04. Full differential regulon statistics.,Supplementary,ST04_full_differential_regulon_statistics.csv,generated,v3 minorfix output; original numeric values preserved.
ST05,ST05_celloracle_perturbation_metrics_v3_minorfix.csv,Supplementary Table ST05. CellOracle perturbation metrics.,Supplementary,ST05_celloracle_perturbation_metrics.csv,generated,v3 minorfix output; original numeric values preserved.
ST06,ST06_sample_level_robustness_and_threshold_sensitivity_v3_minorfix.csv,Supplementary Table ST06. Sample-level robustness and threshold sensitivity.,Supplementary,ST06_sample_level_robustness_and_threshold_sensitivity.csv,generated,v3 minorfix output; original numeric values preserved.
ST07,ST07_supportive_external_evidence_summary_v3_minorfix.csv,Supplementary Table ST07. Supportive external evidence summary.,Supplementary,ST07_supportive_external_evidence_summary.csv,generated,v3 minorfix output; original numeric values preserved.
ST08,ST08_functional_enrichment_and_program_convergence_v3_minorfix.csv,Supplementary Table ST08. Functional enrichment and program convergence.,Supplementary,ST08_functional_enrichment_and_program_convergence.csv,generated,v3 minorfix output; original numeric values preserved.
ST09,ST09_exploratory_drug_signature_enrichment_v3_minorfix.csv,Supplementary Table ST09. Exploratory drug-signature enrichment.,Supplementary,ST09_exploratory_drug_signature_enrichment.csv,generated,v3 minorfix output; original numeric values preserved.
